Date,Total Sales,Number of Transactions,Total Hours Worked,Number of Staff
2020-11-15,1077,117,159,5
2020-11-16,1304,173,173,8
2020-11-17,3524,249,162,17
2020-11-18,612,112,171,13
2020-11-19,2467,250,55,17
2020-11-20,1150,87,90,15
2020-11-21,4833,55,184,17
2020-11-22,1884,147,78,8
2020-11-23,563,105,183,14
2020-11-24,4499,270,124,17
2020-11-25,4488,224,185,6
2020-11-26,3002,88,79,16
2020-11-27,4016,99,150,5
2020-11-28,3171,58,132,18
2020-11-29,2887,172,97,17
2020-11-30,2368,243,113,11
2020-12-01,3941,116,173,9
2020-12-02,2774,112,91,17
2020-12-03,2463,66,79,11
2020-12-04,3456,239,146,9
2020-12-05,4398,244,99,19
2020-12-06,4469,61,102,6
2020-12-07,1198,209,75,8
2020-12-08,792,188,86,14
2020-12-09,1337,70,197,11
2020-12-10,4599,150,146,19
2020-12-11,4622,64,141,15
2020-12-12,1236,170,106,19
2020-12-13,2796,102,106,7
2020-12-14,4961,249,78,13
2020-12-15,2471,207,55,13
2020-12-16,3773,183,135,19
2020-12-17,697,64,84,17
2020-12-18,2171,164,179,7
2020-12-19,3185,288,143,14
2020-12-20,1106,257,64,8
2020-12-21,2620,101,80,7
2020-12-22,4842,82,187,15
2020-12-23,1659,201,77,6
2020-12-24,2231,299,185,15
2020-12-25,2761,141,143,18
2020-12-26,3895,56,142,6
2020-12-27,2875,251,163,10
2020-12-28,1095,170,135,11
2020-12-29,2804,115,198,6
2020-12-30,4217,125,63,12
2020-12-31,3919,137,159,14
2021-01-01,1631,248,104,19
2021-01-02,2503,90,176,14
2021-01-03,4091,238,122,11
2021-01-04,3721,86,108,7
2021-01-05,2521,190,153,7
2021-01-06,2207,213,158,16
2021-01-07,2082,112,123,11
2021-01-08,500,247,99,13
2021-01-09,1191,112,67,10
2021-01-10,3646,236,99,16
2021-01-11,3047,126,139,11
2021-01-12,3286,68,165,18
2021-01-13,3183,178,140,14
2021-01-14,843,51,63,17
2021-01-15,4878,262,81,16
2021-01-16,3687,255,174,17
2021-01-17,1327,140,71,17
2021-01-18,2349,162,147,18
2021-01-19,2721,157,51,10
2021-01-20,3704,199,120,7
2021-01-21,4013,128,84,14
2021-01-22,593,63,96,13
2021-01-23,2967,282,140,10
2021-01-24,4278,117,195,13
2021-01-25,904,155,162,13
2021-01-26,1709,195,62,5
2021-01-27,875,55,102,5
2021-01-28,4445,76,97,17
2021-01-29,3250,241,166,9
2021-01-30,997,205,162,9
2021-01-31,1938,285,114,14
2021-02-01,1238,287,110,16
2021-02-02,3790,219,150,10
2021-02-03,2475,63,152,7
2021-02-04,2062,95,142,12
2021-02-05,960,226,129,19
2021-02-06,4174,106,152,11
2021-02-07,3623,108,98,17
2021-02-08,2338,67,57,6
2021-02-09,1968,264,87,12
2021-02-10,3966,145,116,14
2021-02-11,4543,267,127,18
2021-02-12,4923,270,70,7
2021-02-13,3487,255,96,5
2021-02-14,3963,185,82,14
2021-02-15,3792,76,102,11
2021-02-16,3381,67,197,12
2021-02-17,3408,246,72,16
2021-02-18,834,93,136,8
2021-02-19,1241,225,110,8
2021-02-20,1743,272,111,11
2021-02-21,600,175,88,6
2021-02-22,2963,142,159,6
2021-02-23,2769,299,195,10
2021-02-24,674,122,102,6
2021-02-25,1105,236,84,6
2021-02-26,4245,77,191,8
2021-02-27,4308,56,67,11
2021-02-28,2269,185,81,10
2021-03-01,1348,231,71,15
2021-03-02,1590,169,159,7
2021-03-03,2673,298,179,6
2021-03-04,1662,76,119,8
2021-03-05,1679,173,113,18
2021-03-06,1196,253,142,7
2021-03-07,4917,87,152,16
2021-03-08,2996,143,164,6
2021-03-09,3257,227,118,19
2021-03-10,4428,70,185,14
2021-03-11,4547,271,117,17
2021-03-12,2551,169,104,14
2021-03-13,3810,234,71,16
2021-03-14,2247,239,199,14
2021-03-15,3404,233,107,5
2021-03-16,1402,270,116,17
2021-03-17,4368,201,97,14
2021-03-18,1104,235,82,14
2021-03-19,4186,187,153,17
2021-03-20,1369,178,195,19
2021-03-21,3951,152,187,5
2021-03-22,4281,197,149,10
2021-03-23,1853,249,136,9
2021-03-24,600,100,55,16
2021-03-25,1345,88,187,8
2021-03-26,1171,245,168,13
2021-03-27,4165,208,115,14
2021-03-28,3607,87,183,17
2021-03-29,737,234,185,7
2021-03-30,1805,176,69,5
2021-03-31,521,283,101,17
2021-04-01,1753,183,191,9
2021-04-02,900,109,61,13
2021-04-03,1506,258,137,15
2021-04-04,3691,268,152,8
2021-04-05,2201,239,104,18
2021-04-06,2234,81,125,18
2021-04-07,3918,248,90,16
2021-04-08,1086,139,145,14
2021-04-09,1330,253,53,12
2021-04-10,2108,195,180,10
2021-04-11,3705,81,52,18
2021-04-12,1837,209,75,6
2021-04-13,4047,134,96,18
2021-04-14,887,140,183,8
2021-04-15,3266,89,66,15
2021-04-16,4422,295,164,5
2021-04-17,1721,228,186,9
2021-04-18,2424,124,170,6
2021-04-19,1209,88,164,8
2021-04-20,947,118,142,18
2021-04-21,850,173,128,9
2021-04-22,1164,89,56,13
2021-04-23,4215,177,127,13
2021-04-24,4921,257,106,19
2021-04-25,924,63,53,14
2021-04-26,4760,213,109,14
2021-04-27,1701,280,152,10
2021-04-28,4011,173,161,15
2021-04-29,3212,189,54,5
2021-04-30,1173,153,50,8
2021-05-01,2438,125,184,10
2021-05-02,1253,290,165,13
2021-05-03,2473,104,198,18
2021-05-04,4642,214,194,5
2021-05-05,3187,132,114,15
2021-05-06,837,253,117,10
2021-05-07,4096,229,173,10
2021-05-08,4202,212,119,13
2021-05-09,2338,236,161,18
2021-05-10,3434,130,111,16
2021-05-11,4884,78,89,7
2021-05-12,615,187,109,5
2021-05-13,3184,151,77,12
2021-05-14,3746,58,83,14
2021-05-15,3046,195,75,17
2021-05-16,3904,290,192,12
2021-05-17,4458,286,166,5
2021-05-18,3133,270,90,8
2021-05-19,4742,203,164,16
2021-05-20,3320,144,93,6
2021-05-21,2299,173,169,5
2021-05-22,3191,151,88,13
2021-05-23,1572,237,197,5
2021-05-24,3648,173,92,16
2021-05-25,4712,272,199,15
2021-05-26,2017,299,198,11
2021-05-27,2084,109,140,7
2021-05-28,2502,236,181,6
2021-05-29,2727,68,174,8
2021-05-30,3109,62,185,9
2021-05-31,3643,179,54,10
2021-06-01,4005,77,54,6
2021-06-02,4578,60,103,11
2021-06-03,574,245,187,15
2021-06-04,3893,239,127,17
2021-06-05,4104,66,199,14
2021-06-06,3780,77,142,6
2021-06-07,528,174,73,8
2021-06-08,1934,56,162,13
2021-06-09,3403,50,183,7
2021-06-10,3752,57,52,15
2021-06-11,2138,203,50,19
2021-06-12,1277,117,59,11
2021-06-13,3944,109,121,5
2021-06-14,1385,298,199,9
2021-06-15,1112,166,128,9
2021-06-16,4686,214,87,17
2021-06-17,1592,222,140,5
2021-06-18,1117,263,126,8
2021-06-19,2046,163,129,8
2021-06-20,4608,296,196,11
2021-06-21,2773,250,116,19
2021-06-22,2969,161,66,12
2021-06-23,4763,216,125,18
2021-06-24,1428,220,59,11
2021-06-25,1902,275,171,12
2021-06-26,3861,214,123,6
2021-06-27,1422,118,80,15
2021-06-28,599,141,72,11
2021-06-29,2854,63,156,13
2021-06-30,2892,191,70,16
2021-07-01,2108,219,155,7
2021-07-02,1420,122,118,10
2021-07-03,3806,184,160,17
2021-07-04,784,144,129,5
2021-07-05,4230,190,161,7
2021-07-06,2849,148,193,16
2021-07-07,3370,181,127,17
2021-07-08,500,282,187,10
2021-07-09,2686,66,99,14
2021-07-10,2989,55,188,14
2021-07-11,4538,90,163,14
2021-07-12,3463,233,153,8
2021-07-13,1686,207,84,5
2021-07-14,2598,231,94,18
2021-07-15,2568,72,156,18
2021-07-16,2676,151,51,10
2021-07-17,4701,73,50,7
2021-07-18,725,172,189,8
2021-07-19,2307,214,157,15
2021-07-20,3690,285,69,8
2021-07-21,2699,237,135,17
2021-07-22,2432,84,161,16
2021-07-23,4473,248,51,14
2021-07-24,4341,184,132,5
2021-07-25,766,138,112,11
2021-07-26,3578,126,189,15
2021-07-27,1114,67,166,17
2021-07-28,4506,145,153,11
2021-07-29,4927,98,187,6
2021-07-30,1865,87,74,11
2021-07-31,3954,50,118,10
2021-08-01,2918,252,76,11
2021-08-02,3830,163,102,19
2021-08-03,1127,158,157,17
2021-08-04,1468,54,104,7
2021-08-05,4985,145,179,16
2021-08-06,681,238,50,5
2021-08-07,2783,177,65,6
2021-08-08,4789,60,155,13
2021-08-09,3634,79,108,15
2021-08-10,2880,147,167,18
2021-08-11,620,155,185,17
2021-08-12,1025,290,135,5
2021-08-13,722,63,80,9
2021-08-14,4176,69,58,13
2021-08-15,4832,91,115,7
2021-08-16,2653,254,159,18
2021-08-17,3785,222,58,17
2021-08-18,4090,101,99,12
2021-08-19,4132,157,166,13
2021-08-20,2076,194,114,5
2021-08-21,1422,298,141,11
2021-08-22,4057,292,100,15
2021-08-23,3609,215,121,9
2021-08-24,4691,64,76,5
2021-08-25,3044,214,192,10
2021-08-26,562,164,171,12
2021-08-27,2942,182,69,6
2021-08-28,2944,292,176,7
2021-08-29,2523,97,186,5
2021-08-30,650,178,89,15
2021-08-31,903,99,73,16
2021-09-01,2937,215,127,13
2021-09-02,3352,253,90,14
2021-09-03,627,94,179,10
2021-09-04,2008,119,139,11
2021-09-05,2297,154,80,11
2021-09-06,3008,288,130,8
2021-09-07,4325,66,174,7
2021-09-08,1607,66,112,18
2021-09-09,4480,60,125,17
2021-09-10,2522,55,153,17
2021-09-11,1659,201,121,15
2021-09-12,3752,225,152,17
2021-09-13,1092,117,87,9
2021-09-14,1524,216,93,19
2021-09-15,4299,290,123,6
2021-09-16,4215,68,194,16
2021-09-17,2871,144,181,19
2021-09-18,3716,258,89,19
2021-09-19,2404,81,53,19
2021-09-20,1981,220,108,13
2021-09-21,616,97,179,16
2021-09-22,1241,71,53,11
2021-09-23,1324,275,61,7
2021-09-24,2409,105,181,14
2021-09-25,4093,124,160,10
2021-09-26,2627,158,190,15
2021-09-27,1242,81,146,16
2021-09-28,917,133,100,6
2021-09-29,2424,116,50,11
2021-09-30,3460,197,104,14
2021-10-01,2776,209,104,11
2021-10-02,2363,164,161,16
2021-10-03,2914,69,137,18
2021-10-04,507,89,115,5
2021-10-05,1290,217,63,18
2021-10-06,2390,111,80,18
2021-10-07,2706,147,135,19
2021-10-08,2282,222,131,8
2021-10-09,2116,294,184,14
2021-10-10,1679,286,74,12
2021-10-11,1126,232,84,14
2021-10-12,4571,272,154,5
2021-10-13,1298,172,152,11
2021-10-14,2638,281,55,13
2021-10-15,3114,240,88,19
2021-10-16,2373,254,178,7
2021-10-17,937,194,109,15
2021-10-18,3585,130,123,14
2021-10-19,3836,184,78,15
2021-10-20,2245,246,193,13
2021-10-21,2928,95,86,18
2021-10-22,600,262,185,15
2021-10-23,1909,208,91,15
2021-10-24,1265,126,78,6
2021-10-25,4826,173,176,16
2021-10-26,3210,231,102,8
2021-10-27,3602,211,168,9
2021-10-28,2296,140,136,9
2021-10-29,3134,196,107,18
2021-10-30,623,184,73,6
2021-10-31,3289,170,174,6
2021-11-01,2129,180,118,10
2021-11-02,2736,204,114,16
2021-11-03,1733,288,195,14
2021-11-04,1820,75,118,11
2021-11-05,3038,63,180,13
2021-11-06,2002,241,153,6
2021-11-07,3089,269,178,15
2021-11-08,4249,112,59,14
2021-11-09,4978,107,125,16
2021-11-10,2764,87,102,5
2021-11-11,1008,223,150,17
2021-11-12,3637,199,155,5
2021-11-13,3772,157,98,5
2021-11-14,1908,298,86,7
2021-11-15,1611,119,182,13
2021-11-16,4377,299,89,6
2021-11-17,2995,99,92,16
2021-11-18,2958,75,179,5
2021-11-19,2027,62,92,19
2021-11-20,3011,102,92,13
2021-11-21,1625,120,158,6
2021-11-22,1821,225,96,19
2021-11-23,2437,123,159,11
2021-11-24,4452,188,155,18
2021-11-25,3615,122,90,5
2021-11-26,1634,268,158,17
2021-11-27,4025,194,162,13
2021-11-28,4970,145,130,13
2021-11-29,3463,144,142,5
2021-11-30,3937,279,113,17
2021-12-01,2667,88,94,17
2021-12-02,4878,226,175,19
2021-12-03,1060,238,180,17
2021-12-04,3771,56,72,17
2021-12-05,4835,290,174,13
2021-12-06,3242,248,133,14
2021-12-07,4952,169,185,8
2021-12-08,2374,51,103,8
2021-12-09,1929,161,112,5
2021-12-10,3062,241,58,15
2021-12-11,3836,243,91,16
2021-12-12,2809,175,167,12
2021-12-13,3866,71,105,9
2021-12-14,1112,96,118,7
2021-12-15,2153,50,97,6
2021-12-16,1071,264,57,18
2021-12-17,4248,214,106,11
2021-12-18,1401,204,135,15
2021-12-19,2809,198,136,14
2021-12-20,4247,134,120,7
2021-12-21,1789,281,69,8
2021-12-22,4587,84,120,9
2021-12-23,3596,291,146,14
2021-12-24,2130,160,151,14
2021-12-25,3958,111,136,12
2021-12-26,4471,208,155,7
2021-12-27,4161,205,71,17
2021-12-28,1791,278,189,5
2021-12-29,897,123,117,6
2021-12-30,3032,122,199,11
2021-12-31,2629,102,119,17
2022-01-01,1678,134,51,13
2022-01-02,4538,201,157,19
2022-01-03,2211,112,153,19
2022-01-04,4488,98,101,12
2022-01-05,2989,281,144,14
2022-01-06,1669,237,101,17
2022-01-07,4557,93,143,12
2022-01-08,3816,220,182,18
2022-01-09,683,191,170,6
2022-01-10,3768,298,198,19
2022-01-11,4707,161,66,8
2022-01-12,3327,299,103,17
2022-01-13,4566,59,198,7
2022-01-14,2786,205,93,12
2022-01-15,2849,140,134,7
2022-01-16,3322,279,65,18
2022-01-17,4428,84,147,13
2022-01-18,3041,120,74,12
2022-01-19,3098,219,138,11
2022-01-20,4647,287,154,8
2022-01-21,1540,87,141,10
2022-01-22,4302,56,111,5
2022-01-23,2382,108,181,15
2022-01-24,1145,135,197,9
2022-01-25,4539,53,190,10
2022-01-26,1943,125,164,16
2022-01-27,3239,284,94,14
2022-01-28,3930,61,124,11
2022-01-29,1261,207,187,18
2022-01-30,1447,128,167,10
2022-01-31,4497,261,191,6
2022-02-01,1125,76,119,17
2022-02-02,895,157,185,11
2022-02-03,2999,130,91,15
2022-02-04,4462,213,160,18
2022-02-05,3883,102,194,10
2022-02-06,3055,195,89,5
2022-02-07,3689,130,85,15
2022-02-08,4557,188,156,17
2022-02-09,3808,299,78,15
2022-02-10,4599,238,167,19
2022-02-11,665,251,131,13
2022-02-12,1915,149,87,13
2022-02-13,2321,203,51,8
2022-02-14,1602,177,80,18
2022-02-15,4351,204,84,12
2022-02-16,3517,101,166,16
2022-02-17,1023,129,53,16
2022-02-18,3183,77,139,19
2022-02-19,603,182,51,10
2022-02-20,1199,152,148,7
2022-02-21,4265,263,99,18
2022-02-22,948,153,153,14
2022-02-23,4300,291,90,15
2022-02-24,3967,231,132,10
2022-02-25,3024,73,91,5
2022-02-26,3397,286,104,16
2022-02-27,3587,280,142,9
2022-02-28,631,157,177,14
2022-03-01,3020,157,91,11
2022-03-02,713,72,88,7
2022-03-03,3856,142,190,11
2022-03-04,4398,288,75,6
2022-03-05,4297,93,103,9
2022-03-06,2114,56,141,18
2022-03-07,3427,191,127,12
2022-03-08,1333,255,167,8
2022-03-09,1791,195,186,16
2022-03-10,1805,218,96,12
2022-03-11,1883,175,168,5
2022-03-12,1358,272,135,10
2022-03-13,3570,246,72,18
2022-03-14,1156,68,64,7
2022-03-15,3829,290,50,13
2022-03-16,3076,180,187,14
2022-03-17,3093,77,83,17
2022-03-18,3605,186,90,10
2022-03-19,2010,285,185,17
2022-03-20,1308,257,67,18
2022-03-21,2876,101,176,5
2022-03-22,2753,265,60,11
2022-03-23,1630,225,93,5
2022-03-24,1095,113,175,6
2022-03-25,1940,208,69,8
2022-03-26,824,63,184,9
2022-03-27,1162,142,55,18
2022-03-28,579,224,121,11
2022-03-29,583,192,74,19
2022-03-30,3367,292,172,18
2022-03-31,3968,224,91,5
2022-04-01,3233,223,56,12
2022-04-02,2141,147,170,18
2022-04-03,1348,54,101,9
2022-04-04,3642,166,74,8
2022-04-05,4306,188,81,17
2022-04-06,2231,166,198,8
2022-04-07,1860,113,196,8
2022-04-08,1653,68,85,7
2022-04-09,2342,278,138,6
2022-04-10,863,250,141,17
2022-04-11,2886,169,94,8
2022-04-12,1197,108,150,17
2022-04-13,3978,251,68,13
2022-04-14,1411,288,128,6
2022-04-15,4112,191,57,14
2022-04-16,3899,62,61,13
2022-04-17,4909,207,108,13
2022-04-18,3374,128,88,9
2022-04-19,2764,154,84,11
2022-04-20,2817,127,120,15
2022-04-21,578,187,181,17
2022-04-22,3872,224,173,17
2022-04-23,3663,238,141,8
2022-04-24,2545,126,75,11
2022-04-25,2123,279,50,17
2022-04-26,2113,207,157,14
2022-04-27,1010,159,175,10
2022-04-28,4706,125,162,15
2022-04-29,2597,286,93,13
2022-04-30,2891,283,157,14
2022-05-01,1998,163,92,5
2022-05-02,2276,202,143,12
2022-05-03,1718,109,51,16
2022-05-04,2821,250,73,11
2022-05-05,1844,193,138,9
2022-05-06,736,232,139,16
2022-05-07,2627,210,119,13
2022-05-08,1686,286,130,9
2022-05-09,4252,258,145,10
2022-05-10,3562,292,147,10
2022-05-11,873,165,81,11
2022-05-12,3732,158,102,17
2022-05-13,2974,164,114,12
2022-05-14,1907,163,58,8
2022-05-15,1111,61,74,13
2022-05-16,4495,65,120,15
2022-05-17,2852,75,125,16
2022-05-18,2174,71,112,14
2022-05-19,1797,200,151,6
2022-05-20,2833,259,121,6
2022-05-21,2159,270,75,13
2022-05-22,4049,141,92,6
2022-05-23,3195,158,183,19
2022-05-24,3133,250,182,14
2022-05-25,4043,141,92,17
